Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Maksimumstemperatur (døgn);Minimumstemperatur (døgn);Nedbør (døgn);Snødybde
Skjetlein;SN67140;09.12.2017;1,5;2,9;0;-;-
Skjetlein;SN67140;10.12.2017;-3,7;1,4;-5,7;-;-
Skjetlein;SN67140;11.12.2017;-6,1;-1,8;-9,6;-;-
Skjetlein;SN67140;12.12.2017;-6,6;-5,8;-10,4;-;-
Skjetlein;SN67140;13.12.2017;-4,7;-0,8;-7,4;-;-
Skjetlein;SN67140;14.12.2017;-10,8;-3,1;-13,3;-;-
Skjetlein;SN67140;15.12.2017;-9,5;-6,9;-13,5;-;-
Skjetlein;SN67140;16.12.2017;-4,3;-2,3;-8,4;-;-
Skjetlein;SN67140;17.12.2017;-0,4;1,3;-3,7;-;-
Skjetlein;SN67140;18.12.2017;1,6;3,7;-3,4;-;-
Skjetlein;SN67140;19.12.2017;2,8;4,4;-0,2;-;-
Skjetlein;SN67140;20.12.2017;2,4;4,9;0,6;-;-
Skjetlein;SN67140;21.12.2017;2,5;4;-0,7;-;-
Skjetlein;SN67140;22.12.2017;1,5;3,2;0,2;-;-
Skjetlein;SN67140;23.12.2017;3,1;6,4;0,5;-;-
Skjetlein;SN67140;24.12.2017;-0,3;0,9;-1,9;-;-
Skjetlein;SN67140;25.12.2017;-0,6;1,4;-2,7;-;-
Skjetlein;SN67140;26.12.2017;-3,5;-2;-5,8;-;-
Skjetlein;SN67140;27.12.2017;-4,7;-2,2;-4,8;-;-
Skjetlein;SN67140;28.12.2017;-8,1;-2;-13,4;-;-
Skjetlein;SN67140;29.12.2017;-6,8;-2,1;-8,4;-;-
Skjetlein;SN67140;30.12.2017;-6,3;-1;-10,3;-;-
Skjetlein;SN67140;31.12.2017;-6;-2,6;-11,5;-;-
Skjetlein;SN67140;01.01.2018;-0,1;2,9;-5;-;-
Skjetlein;SN67140;02.01.2018;-1,1;1;-2,8;-;-
Skjetlein;SN67140;03.01.2018;-5,5;-0,1;-10,3;-;-
Skjetlein;SN67140;04.01.2018;-0,7;-0,1;-4,1;-;-
Skjetlein;SN67140;05.01.2018;-4,7;-0,3;-7;-;-
Skjetlein;SN67140;06.01.2018;-5,5;-1,6;-10;-;-
Skjetlein;SN67140;07.01.2018;-0,9;0,9;-4,4;-;-
Skjetlein;SN67140;08.01.2018;0,4;4,3;-1,7;-;-
Skjetlein;SN67140;09.01.2018;-8,9;-0,9;-11,9;-;-
Skjetlein;SN67140;10.01.2018;-0,5;5,7;-13,1;-;-
Skjetlein;SN67140;11.01.2018;3,5;6,1;-2,8;-;-
Skjetlein;SN67140;12.01.2018;-2,3;2,6;-5,8;-;-
Skjetlein;SN67140;13.01.2018;-6,1;-2,5;-8,1;-;-
Skjetlein;SN67140;14.01.2018;-2;0;-9,1;-;-
Skjetlein;SN67140;15.01.2018;0,8;1,4;-1,2;-;-
Skjetlein;SN67140;16.01.2018;1,1;2,2;0,3;-;-
Skjetlein;SN67140;17.01.2018;0,6;2,8;-2,4;-;-
Skjetlein;SN67140;18.01.2018;-4;-0,2;-6,5;-;-
Skjetlein;SN67140;19.01.2018;-8,9;-4,3;-10,3;-;-
Skjetlein;SN67140;20.01.2018;-9,2;-1,2;-13,5;-;-
Skjetlein;SN67140;21.01.2018;-10,4;-5,1;-12,6;-;-
Skjetlein;SN67140;22.01.2018;-14,1;-10,7;-17,1;-;-
Skjetlein;SN67140;23.01.2018;-4;1,4;-15,3;-;-
Skjetlein;SN67140;24.01.2018;4;6,1;0,7;-;-
Skjetlein;SN67140;25.01.2018;2,5;6;0,9;-;-
Skjetlein;SN67140;26.01.2018;1,2;2,7;-0,1;-;-
Skjetlein;SN67140;27.01.2018;-0,3;1,6;-2,1;-;-
Skjetlein;SN67140;28.01.2018;0,7;3,3;-2,5;-;-
Skjetlein;SN67140;29.01.2018;-0,4;2,3;-2,7;-;-
Skjetlein;SN67140;30.01.2018;-2,3;0;-5,4;-;-
Skjetlein;SN67140;31.01.2018;2,2;3,5;-4,9;-;-
Skjetlein;SN67140;01.02.2018;-0,4;3,4;-2,5;-;-
Skjetlein;SN67140;02.02.2018;-12,5;-2,4;-15,5;-;-
Skjetlein;SN67140;03.02.2018;-10;-4,6;-17,5;-;-
Skjetlein;SN67140;04.02.2018;-7,8;-4,3;-13,4;-;-
Skjetlein;SN67140;05.02.2018;-2,5;0,1;-4,6;-;-
Skjetlein;SN67140;06.02.2018;-3,2;-1,9;-4,9;-;-
Skjetlein;SN67140;07.02.2018;-2,5;0,8;-5;-;-
Skjetlein;SN67140;08.02.2018;-1,8;1,1;-6,8;-;-
Skjetlein;SN67140;09.02.2018;3,3;5,8;-2,1;-;-
Skjetlein;SN67140;10.02.2018;1,4;3,9;-1,1;-;-
Skjetlein;SN67140;11.02.2018;0,5;1,8;-0,9;-;-
Skjetlein;SN67140;12.02.2018;-1,3;0,4;-3,7;-;-
